query_id,query,retrieved_doc_id,doc_title,llm_judgment,llm_confidence,llm_reason,needs_review,opus_judgment,opus_reason,human_judgment,human_override_reason,final_label
Q1,얼큰한 국물 요리,295,해물순두부된장찌개,0,,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",false,,,0,,0
Q1,얼큰한 국물 요리,140,매생이순두부탕,0,,매운맛 재료가 포함되어 있지 않아 매운맛 조건을 충족하지 못했다.,false,,,0,,0
Q1,얼큰한 국물 요리,2977,얼큰 콩나물 수제비,1,,"카테고리가 일품 중 국물요리이며, 조리방식이 끓이기이고, 매운맛 재료로 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q1,얼큰한 국물 요리,266,대구지리탕,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 붉은 고추가 포함되어 있어 모든 조건을 충족했다.",false,,,0,지리탕은 맑은탕 계열로 기준 문서 not relevant 명시,0
Q1,얼큰한 국물 요리,630,설렁탕쑥떡볶이,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 홍고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q1,얼큰한 국물 요리,334,주꾸미연포탕,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추가 포함되어 있어 모든 조건을 충족했다.",false,,,0,연포탕은 맑은탕 계열,0
Q1,얼큰한 국물 요리,427,코다리맑은탕,0,,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",false,,,0,,0
Q1,얼큰한 국물 요리,578,초계탕,0,,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",false,,,0,,0
Q1,얼큰한 국물 요리,138,부대된장찌개,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 홍고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q1,얼큰한 국물 요리,137,된장 두부찌개,1,,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추와 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,3183,바나나미숫가루쉐이크,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 없어서 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,613,인절미 무스와 수정과 아이스크림,0,,강한 향신료인 계피와 생강이 포함되어 있어 자극 재료 없음 조건을 충족하지 못했다.,false,,,0,,0
Q3,아이 간식,1110,완두콩 롤,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,1135,군고구마 라떼,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 없고, 모든 조건이 명시적으로 충족되었다.",false,,,1,,1
Q3,아이 간식,1131,쌀콩죽 요거트,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,1057,누룽지 요거트 파르페,1,,"카테고리가 후식이며, 자극 재료와 강한 향신료가 포함되어 있지 않아 모든 조건을 충족했다.",false,,,1,,1
Q3,아이 간식,1058,자색고구마 호떡,0,,재료 목록에 계피가루가 포함되어 있어 강한 향신료 조건을 불충족했다.,false,,,0,,0
Q3,아이 간식,1115,바나나 생강 크림이 들어간 미숫가루 쿠키슈,0,,강한 향신료인 생강이 포함되어 있어 조건을 불충족했다.,false,,,0,,0
Q3,아이 간식,1112,약밥 닮은 호떡,0,,"카테고리는 후식으로 충족하지만, 재료 목록에 계피가루가 포함되어 있어 강한 향신료 조건을 불충족한다.",false,,,0,,0
Q3,아이 간식,1106,코마레티,0,,강한 향신료인 코코넛슬라이스가 포함되어 있어 자극 재료 조건을 충족하지 못했다.,false,,,1,코코넛슬라이스는 강한 향신료 아님,1
Q4,매운 반찬,383,매운닭날개구이,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고춧가루와 멕시코고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3016,매운락교무침,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,827,고추 장떡,1,,"카테고리가 반찬이며, 매운맛 재료인 고추가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,306,오색볶음면,0,,"카테고리가 일품으로 반찬에 해당하지 않으며, 매운맛 재료가 명시적으로 포함되어 있지 않아 조건을 충족하지 못했다.",false,,,0,,0
Q4,매운 반찬,869,낙지볶음면,0,,"카테고리가 일품으로 반찬에 해당하지 않으며, 매운맛 재료가 포함되어 있지만 카테고리 조건을 충족하지 않아 불충족.",false,,,0,,0
Q4,매운 반찬,739,꼬막떡꼬치구이,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3298,매운요거트 토마토샐러드,1,,"카테고리가 반찬이며, 매운맛 재료로 고추장이 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,880,낙지강회,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3572,참나물 매콤함박스테이크,1,,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고추장과 고춧가루가 포함되어 있어 모든 조건을 충족했다.",false,,,1,,1
Q4,매운 반찬,3087,잎채소튀김,0,,매운맛 재료가 포함되어 있지 않아 매운 반찬 조건을 충족하지 못했다.,false,,,0,,0
Q2,다이어트 샐러드,82,건강그린 샐러드와 고소한 두유드레싱,1,,"형태가 '샐러드'로 명시되어 있고, 칼로리가 1인분 350 kcal 이하이며, 드레싱의 주재료가 마요네즈를 포함하나 소량이므로 relevant 유지.",false,,,1,,1
Q2,다이어트 샐러드,865,구운 닭고기 샐러드와 저나트륨 과일 드레싱,1,,"형태가 '샐러드'로 명시되어 있고, 칼로리가 246 kcal로 350 kcal 이하이며, 드레싱의 주재료가 마요네즈나 크림이 아니므로 모든 조건을 충족했다.",false,,,1,,1
Q2,다이어트 샐러드,201,민들레 샐러드,1,,"형태가 샐러드로 명확히 확인되며, 칼로리가 350 kcal 이하이고 드레싱에 마요네즈나 크림이 포함되지 않아 모든 조건을 충족했다.",false,,,1,,1
Q2,다이어트 샐러드,826,참기름 드레싱의 즉석 샐러드,1,,"형태가 샐러드로 명확히 확인되며, 칼로리가 350 kcal 이하이고 드레싱에 마요네즈나 크림이 포함되지 않아 모든 조건을 충족했다.",false,,,1,,1
Q2,다이어트 샐러드,236,닭가슴살카나페,0,,"형태가 '샐러드'가 아니며, 조리방식이 '굽기'로 샐러드 형태와 일치하지 않기 때문에 불충족.",false,,,0,,0
Q2,다이어트 샐러드,895,아보카도 두부 샐러드,0,,형태가 '샐러드'가 아닌 '반찬'으로 명시되어 있어 형태 조건을 충족하지 않는다.,false,,,1,샐러드 명칭 기준 충족,1
Q2,다이어트 샐러드,986,나스와 샐러드,1,,"형태가 '샐러드'로 명시되어 있고, 칼로리가 350 kcal 이하이며, 드레싱의 주재료가 마요네즈나 크림이 아니므로 모든 조건을 충족했다.",false,,,1,,1
Q2,다이어트 샐러드,210,두릅 샐러드,0,,"형태가 '샐러드'로 명시되어 있으나, 조리방식이 '굽기'로 제공되어 샐러드 형태의 요리가 아님.",false,,,1,샐러드 명칭 기준 충족,1
Q2,다이어트 샐러드,346,토마토제철나물 샐러드,0,,"형태가 '샐러드'로 명시되어 있으나, 카테고리가 '반찬'으로 되어 있어 형태와 일치하지 않으며, 드레싱의 주재료가 마요네즈 또는 크림이 아닌 경우로 relevant 유지 조건을 충족하지 않음.",false,,,1,샐러드 명칭 기준 충족,1
Q2,다이어트 샐러드,386,다이어트국수,0,,형태가 '샐러드'가 아닌 '국수'로 명시되어 있어 불충족.,false,,,0,,0
Q5,고단백 요리,572,옥음밥,0,,"단백질 함량이 6g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료에 해당하지 않아 정성 조건도 충족하지 않는다.",false,,,0,,0
Q5,고단백 요리,628,삼색샐러드와두부구이,0,,"단백질 함량이 1인분 17g으로 정량 조건을 충족하지 않으며, 주재료가 두부이지만 protein 값이 NULL이 아니므로 정량 조건을 우선적으로 판단하여 not relevant로 판정.",false,,,1,"레시피명에 두부구이 명시, 정성 조건 충족",1
Q5,고단백 요리,563,미니함박스테이크,1,,"단백질이 26g으로 정량 조건을 충족하며, 주재료로 소고기와 돼지고기가 포함되어 고단백 식재료로도 인정됩니다.",false,,,1,,1
Q5,고단백 요리,616,다마고도후,0,,"단백질이 9g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료인 계란이 포함되지만 protein 값이 NULL이 아니므로 정량 조건이 우선 적용되어 불충족으로 판정됨.",false,,,1,다마고(계란)+도후(두부) 고단백 주재료,1
Q5,고단백 요리,587,두부 카프리제,0,,"단백질 함량이 11g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료인 두부 외에 육류가 포함되어 있으나 두부가 주재료로 간주되지 않기 때문에 정성 조건도 충족하지 않는다.",false,,,1,"두부 주재료, 정성 조건 충족",1
Q5,고단백 요리,3006,저염 겉절이,0,,"단백질이 2g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료가 아니므로 불명확한 조건이 없습니다.",false,,,0,,0
Q5,고단백 요리,299,생선베이컨말이,0,,"단백질이 19g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료인 생선이나 육류가 포함되지 않아 정성 조건도 충족하지 않는다.",false,,,1,"생선 주재료, LLM reason 오류",1
Q5,고단백 요리,575,음메꼬꼬돌돌,1,,"단백질이 1인분 42g으로 정량 조건을 충족하며, 주재료로 소고기와 닭고기가 포함되어 있어 정성 조건도 충족한다.",false,,,1,,1
Q5,고단백 요리,3084,두부튀김&무소스,0,,"단백질 함량이 9g으로 정량 조건을 충족하지 않으며, 주재료가 두부이지만 protein 값이 NULL이 아니므로 정량 조건을 우선적으로 판단하여 not relevant로 판정.",false,,,1,"두부 주재료, 정성 조건 충족",1
Q5,고단백 요리,798,쇠고기와 검은콩 요리,1,,"단백질이 1인분 24g으로 정량 조건을 충족하며, 주재료인 쇠고기가 고단백 식재료로 인정된다.",false,,,1,,1
